Grapheme	Grouped	Plain	Frequency
ʔ j	ʔ.j	ʔ j	2
tʰ r	tʰ.r	tʰ r	2
u ʔ̚	u.ʔ̚	u ʔ̚	2
ˀn w	ˀn.w	ˀn w	2
ɨ ŋ	ɨ.ŋ	ɨ ŋ	2
m j	m.j	m j	2
u m	u.m	u m	2
u t	u.t	u t	2
u k	u.k	u k	2
ə t	ə.t	ə t	2
i p	i.p	i p	2
s j	s.j	s j	2
ãə	ãə	ãə	2
ẽ	ẽ	ẽ	2
b ɣ	b.ɣ	b ɣ	2
cʰ ɣ	cʰ.ɣ	cʰ ɣ	2
ə̃ɨ̯	ə̃ɨ̯	ə̃ɨ̯	2
e̤i	e̤i	e̤i	2
ɔu	ɔu	ɔu	2
o k̚	o.k̚	o k̚	1
u k̚	u.k̚	u k̚	1
ə ɴ	ə.ɴ	ə ɴ	1
ˀb l	ˀb.l	ˀb l	1
ŋ̊	ŋ̊	ŋ̊	1
e k̚	e.k̚	e k̚	1
g l	g.l	g l	1
ˀl	ˀl	ˀl	1
²	²	²	1
¹	¹	¹	1
r̥ w	r̥.w	r̥ w	1
ˀm	ˀm	ˀm	1
e ɴ	e.ɴ	e ɴ	1
e t̚	e.t̚	e t̚	1
i k̚	i.k̚	i k̚	1
cʰ r	cʰ.r	cʰ r	1
ˀb w	ˀb.w	ˀb w	1
n̥ w	n̥.w	n̥ w	1
b j	b.j	b j	1
l j	l.j	l j	1
o k	o.k	o k	1
ə̤ ŋ	ə̤.ŋ	ə̤ ŋ	1
e n	e.n	e n	1
ɨ t	ɨ.t	ɨ t	1
ou̯	ou̯	ou̯	1
pʰ j	pʰ.j	pʰ j	1
z	z	z	1
k r	k.r	k r	1
y	y	y	1
əu t	əu.t	əu t	1
e k	e.k	e k	1
x w	x.w	x w	1
ei ʔ	ei.ʔ	ei ʔ	1
ɦ ⁵⁵	ɦ.⁵⁵	ɦ ⁵⁵	1
aə	aə	aə	1
ʃ w	ʃ.w	ʃ w	1
ʀ	ʀ	ʀ	1
l̥ w	l̥.w	l̥ w	1
i t̚	i.t̚	i t̚	1
